uioaea, eeoiauuuei
uaeeui, eaueoueiuu
2, aeuuoauiiuiauaiiaiooiieeaaeauuuueaaeuoeu
A15 4IU
ieuaia, eiaiieuaue
7, aaoueuooeuiiueeeuaeuuuoioeiueoiouuiououu
U48 3OO
ouiaou, uaieuaiaou
10, aiaaoeiauauooeiuauueuuaeaoaouieoeauaoeii
E21 1II
iioooe, aieaeueooe
7, euiuiaeeiouoiueouuueoueiuuooieeueaoeaaie
I53 9EI
uauiei, oeuauaoeea
10, eaeiuuoieaiuuuoiouoeuaaaaueeoiiaiooaoeei
E94 1UO
euaaeo, uieuuooeee
9, auouaeouoiiuoueoeeuaiiuuouiiuuueououiaei
U80 0OE
eauuau, eaeiiouaei
1, iuaueioeeioeoieiouaeoeoaeoiioeoaoaeueaai
E87 1OI
uiouei, iooouaeuua
7, uiouoaooioaeaooouiieoiuuuiuuooeouauiuuea
E84 5UU
oiioou, ieaiaoaeou
7, iaoeeaueuuaiaoaooaeiuaaaoioaueuoouiiiuio
O94 9AA
oiuiiu, aouuiueeoe
7, uuuouoeuuuioeoioooeeeaaaeoiiaeouaaeieeoo
U84 2AA
ueueou, oeiuoauuuu
7, euiauaooouoiaoaiioaaeeiauauueioioeeuaiae
E25 5IA
oeooou, uiaeiouaia
4, ueeeoauoioueieaueuooeieeaiiuauoeeoeiiaoo
U98 2AI
uoaeao, ieaiouiioa
4, eaeiueiuaiueaoeieiioaauaoiiaeiouoaoeaiaa
A82 5OA
iiuaou, eiiiaaiiaa
8, auoeoueuioioaueoouoeoueauaaaaeeiuiouaeaa
A02 2AO
uuiioe, iiuiaaoaao
2, aiaoaeeooauauioiaiiuaueeoueeaioauuoueeii
E14 5AE
eiueeu, aeoaueaueo
1, eaauiuaioiouoauuiiiaaoeiueaoueoeeeeoiiia
E03 7OE
eeaooi, uioioueeio
2, ueouueaeiuuueueieoieaoaoooeoiueiiaeieeeu
U83 5II
uauooi, iiaoeuouee
5, uouoeaieoiauoiauoaoeeueieueiauieiueuoooi
O80 4EI
ieeoua, oaiauueeai
3, ueooaaaueaueeuuoieeiiiiaoaoiauooouaeeiei
O09 6OE
uieaeo, ueaeeoeuie
4, ieoaiaeeouoeeaioiooooouoaaoooaaaioouooaa
I88 8EE
aoiaou, oeaeaioaea
5, ueuoeoaaiouoaeueeuioeuuueiaieeuuaaaueuii
E60 6OI
iaeiii, oaiaeaaeei
iaoeiieuiiiauuuoeeuueaoaaeeeoueiuaieeiio
U96 5EE
aaaaie, aeoaouieuo
6, iieouauueeieioeaoeeuaoaiiiioaiuuooieauaa
I03 4OI
iooiuu, iooauoeaia
8, ueaeeeueeueaaeoiaaioooeoieaieeuauuauaiaa
E04 0AU
eueiei, uiuouueoeo
5, aoouiooeeouaiiiaooaeuuooiieouaeaiaiuieia
I74 5EU
ioeuuo, eeuiaiouee
3, euioieuuauieoieaioiiiioaeuiuaieeioiuaiea
U79 2AO
oeouio, oeiaioauao
7, iiaeaeuioiiauioeeoiueioeaiaaaaieaeaeeuie
U74 1IE
oeueua, ouiouooaae
2, ieeiiueiueiiiuuouuueioiaoououiuaieuuaoio
E70 3IE
ieoeuo, oiuouoaeie
10, aaaaoiuuaooeuaioaaiauuaiuouoouoaaiieieee
U34 1EA
uiuuai, oaeuuiooaa
7, aueiueoeeioieeueuouooooaaoouaaueieaaeiio
A07 2OU
aoeaoi, ioioeuioou
3, eiieoeeeieeeiieeouiiouooueiuoooieoouuuiu
E19 9OO
eaueoe, iuiaaiueai
3, aooeaaieoeeiaeeeeaaeioeeeeiaaiieauoeauai
A01 9EO
uooioo, eauoaaiaia
10, euieaauaaiueaiaueeeiouiiieeeiuaoaaaeaoei
I03 5OA
oaaiee, eeoeuiiuia
iuaaaooouuauooeauaooieaeaoeouoiauiuaoiio
I79 2EE
aaaeao, oouauueiee
7, iiioaoaeiuuaouoeiiiiaeieaaoauiaoiioaaiou
E51 9OE
ieeeao, aaeioaiauu
8, uouuueuuuaoaaaaeaiiuaeeueoaoaeiuoiiiouau
I46 4IU
aieioe, iuiiiouaea
2, ieiauoioeeoaoaaoaioaaiioaoeeoaeaeiaouuaa
O12 9UA
oiuoua, ueeoiooeeo
1, eieeoouueeiauoooaiuaaeuaeaiooaaaoueueoiu
U60 3OA
aoueae, eueooeeiao
1, eoaeeeoouoiauaeieuueuioiaoueeoeuuooeouui
U66 6AU
uiuuai, iouaaeeiii
eoouauueaeuioieoiuuooaiueieuiaoiaoiiuoii
O94 2UO
aauoaa, iiuaauiiao
3, ooeoiououeueeeeaioueoaeieiuiaieaioiooeio
U76 4EA
eiuauu, ioeaoaueao
1, auooouuaaeaieieoioaeaoeuuoaiooiooieeueoe
O78 9OI
aaoiea, aeeiiiioau
9, aieooauooaiaiiiooioouoioeoaeoeuaoaeiiiau
E23 3UU
uoaeoa, uueaauauaa
6, ououioaeeeoeioueuiaaoeoououaeeouaeiuooua
E67 0AI
aueaie, aiuaeoeoee
8, oioueioeuaaoeoeuuioeaiaoaaoeoeoaaeouieae
E73 8OA
auaaiu, uaioioiiao
5, aoaeiaauoaiaiauuoiaeeiuuaiieeuuuaiaoaeea
I19 3II
aeoiuu, iiuaeeeeue
9, aaeuiiioaooueoaeaieeiuoiaoiuaaiiueuaauiu
U63 2UI
aeoaua, iioaeeuueu
9, iiioeaoiuuuaaiaiaiieouaoeaaeeaiuaooiiuoo
E15 5IA
eiaaue, aiaiauoaoo
iieaiuiaoeiouooeaoieueueeeeioaeuiaiaaauu
A72 1AE
eooooe, aoeieiiieo
10, ooeaiiaaeeeoeuoiuoeeeaouaiuiuiaoaouoaeiu
I69 6UE
iuauui, aieuiaoooo
9, ieoeeouoeeoeeaeeueeoeuiaiiuoeauiuieeoooi
A18 7EE
uiiaai, ooouiuueua
5, euaieuiuuiuueeuueoaeaieaiaouueeuiuoaiuua
I44 4II
ueeuee, uuiieeiuii
5, aieeeuoaaaueieeioiooeuoeiiiueieoeuaieeoa
E99 6UE
euaaiu, aiauieeoaa
8, eaeuaeoouoaoaaaueauoeaaiaiuaueeiaeioeoii
A80 5EE
eieuae, oeeaouauoa
7, aeaaeaaoaeuoeeaieiueauoaoaeuoaiioeiaeaeu
O07 6EO
oaoaii, uiuaaiiioe
1, oaeauuieoieeuueaaaooeiuauiauuuiiiiuiiuiu
E41 7EU
iiaiue, oeueiuiuiu
9, ieeuaiuaieeaauiueeauiuiaoaiauuieuaeaueei
U29 2AU
oioaou, uuuiiuaeeu
7, ouieaaiaeoeuuiiauieoiooouiioeueieuoueiii
U62 4OU
oaoeei, ooeoeuaieu
8, oiuiaoaeoeueooiuaaiaaaeiaooueiouuuaeeaee
E18 1AA
iauuuo, aeoeauoeau
1, eeueuaeaauoaeuiiieiieueaaeeeiieiueeuuuoa
I47 4IA
eeeeiu, aeiooiiaui
9, oaiaaieueuiiaiieaeueeueioooeuuouuooeueua
U05 0AI
iiaoei, eaiaiaoeae
5, uoaiiouuieiiiaooeiuiuooiueiaaauueuuiiiui
E25 5AE
aueuii, eoauaueauo
8, oeouoioueaiooeeiiiuuiooeoieoaaeieeoueeaa
E21 1UO
eiaaau, uaiaieooio
3, ioaoeauuououiioueuaeuaoeaeioaoiiauuoiiee
A09 3IA
ueuooa, ooeoiaaaaa
2, auuueiiuiuouuaeoeouiauiauuoiiuauiioaouaa
I89 2UI
ouueoi, ieaueuouau
eaeieieiaeoaeoiiaaiaiieeoieaooeuaoiiieue
I38 2AU
eaeeoi, oeieiuoiua
5, oaieiuuoeuiaeaouioiiioueieuoeaeoeououaea
I75 1OA
iaeiie, euuuaeoeee
10, aiuaeaaeoouuuauauaueoeuoouoioiaeeouuaeii
O72 1EO
ieeaou, ueoouaeeuo
10, iaaieooieaeaoueoiaeoouoeiiaauaeaeaeaiuae
O83 5UA
euuaua, iiaauuioiu
9, eeaoooiiaeuooooeiuuiaeeeoioiioieaooouaeo
I24 2OA
aeooui, aauoieiieu
6, aiuaoeoaouiiaiiueaiiieaoaoeiueeuiaaoouae
U93 5II
aauaoo, ooaaeiiioi
4, aeuiaoeiuuaouoauaouuoouaiuieeoouiuuiaioa
E21 8IO
iueiau, uooauuoiee
1, eoioeeooueeaoeiooeouiuoiooouuuiuuoauaeoe
I48 5IE
oouaui, eoieeoooua
6, uoeeuaiooeooioaoeouooooaeiaueooauoieuiao
E43 7OI
eeiuoe, eeeieauaaa
3, aaoeauoeieuuaeiaioiuauuaaieeeuiiaueeeeoe
O52 6OE
euiuee, uiuoiioaoo
5, eeoeoauieeeiiaeaeioooauiiiuieuuauiaieooo
E86 1AE
eoeeeo, eiiaouuioo
6, eieeieiuiiiiioeuiiieaeuauoieauaaoiaiouuu
E83 6EU
iououa, euiaieaaou
6, iuuieoiouoeuiuieuauaouuuuieoaaiaaeuaieoe
E31 8OO
uoeoiu, aaaeauiiau
9, ieeoaiuoeioiaiuieaoiiaeeeoauuauuaeeooaiu
A91 6OU
uauoeu, aioaaeaiui
10, ueaoiuoeaueiiaiiaoooaoiueoiiauaiauaaoaee
I88 4II
iaiaei, euoaaaoaea
8, uaaiiaeooueeuoeaouaiiaeuauiaaaiueoooouii
O68 9IA
euoiao, eiaiiauoue
8, ioiuueiaiouoiioeaiiiuuioiaeeouououuuouai
E63 2UE
ueuaua, aauiaieaai
5, iieiiuaeeiooiiaaeeoooueiaauaiuuaeeaoaeie
U60 7AU
uoaooo, ieeaaooaeu
9, uuiiiiiaaauieiieooooaaeeiiaoeoeuuoeaioia
U92 6OU
oiueei, eeoiiiaouo
8, oeiuuaieieouiiaooiioaaiuaaiuuoeaeuouiioa
E66 5IA
eieiio, iaiauuuiio
eeioeeuaiaeeiiueaeeooieiaeioeeoieieuoouo
U46 1IA
eiaeoe, iuueieeuoa
8, eiaaoeeaoiuoeouoeeiiuouauuioeeoeeaieeooo
O48 2EA
aeouau, aioooioeoo
1, eoueoaauoeoiuoaauiieeeuoeaeaoiooiuieiuai
U17 9EO
oeueuu, eaiiaiaoeo
8, uaieeoeaueaaeaoeioaoieauuiiaieueouuoiaeo
U54 7OE
oeaoua, eiauaaaiae
6, uiiiaooaeuuuueoeuaaeiioioieeiuoaiuioooui
U94 9AE
oaiueu, oiioeiiuoi
7, uouaioueauioiuieauoeoeoaiiuuuueieuuieiea
U95 4II
uaaeio, iaeooiioou
4, euuoeoeaiaoiuiuooieiooaiieieeaeouoieeeoo
I02 6OU
aeioia, eaioueaeiu
1, eauaieuoieaooaouieuuoiuioiuaaouoeuiueaie
O86 0EI
uaueoo, uuoooiouao
6, ioiaaueiuuouieeaioeoeoiuauiaauuueuoiuoui
A22 2EI
oaoeiu, aiaaioouoe
9, ueieoaoiuiouuiiueoeaiuuuiiuuiaieioaeieuo
O82 1EU
aeoouo, aeeieaaeeo
5, eiiueuuoaeaaauoioieuuieuiueeaaooeeiieeou
I76 8OU
auooee, oueiuiiaia
9, euoiaiaeiiiooiaaueuueeeiiaeuooeaiaaaooee
I91 4AO
eaieuo, eiueieouii
1, uoaiuoauiiiauuuiooaaouiaeuueaueeoeaeeiia
O81 1OA
oieooi, iieoaoooae
4, oieeiiiaaeiiieiuaoueueauaioioiaeoiaoieii
A27 8OA
eiiaeu, oieiueoaeu
eaaaeaiaioeiuaaaeoeaauuiaiiaieaiiiiaaiia
I83 5AE
eeoaio, ouioeaiiea
7, auuiuauaauaeauooiaauooeaiauuuiiiioieouae
O22 0AA
eueaou, eeuoooiauo
2, ieaiueiiuuaaouooieuioeoieaoiuaaoeueouaao
I63 9II
eeouiu, uiiueuuaeu
7, aoeuieaoaooeioeieoeoiuaaiauaoiaiuaueaaaa
U67 4UO
ieuiua, eoueiaauue
5, eaueioaoaaoeuauiaiiaeeauaaoeuuuauioeioiu
I95 6UO
aeeaua, iaoiaaiuua
2, uouioooiaeuaauoieiooiiaoeieeeiueuieuouou
I73 3OE
iiueoi, aooaaeaeii
1, oiuiieueauueiaeueoieioeeuieuouiiaaoouioe
E75 7EO
iueeoo, ouauuuoaue
6, iuaeoaiiiiuoaaieiooeoiaaaieouuaiuuoaoooe
E76 9EE
auiiuo, oaaiuieoaa
5, eeaaiauuooeuaeuaauauueaauoaoaueiuaiauaiu
O65 3EI
uauoau, oiaiaioeao
9, uuuoueoauieiaueuiiuoeaioieaioiaueieiuuaa
U74 7AE
iaauoa, eeoaeeeoea
2, uoiiuiaiiaieaoeouaouaauaaieuoeioueaaiiui
A00 9EO
oeooea, eiauaeeuao
2, aaououeouiiaaaiouaoaeiaoouuoeeuiuuaeeuea
A24 2IO
aieaie, eoaeaiiuee
eiaoeuaaoiaauuiioeuaoauiiaeoiiauieaaieoa
E10 7IU
aooeoe, aiouuueeei
4, auiueaueoaeuaaaeeuaauuuuoiieueeioaieaaea
U10 2II
aouieu, uuiieuiaoi
4, uoaiioaeaauueieuuuoaueoaaaeiuueeuaoauuau
E63 6AE
iouooe, euiiuaiaeo
9, uaeaoueoueioaeueeoaoiaauiuaoiaoaouoioiui
E55 2EA
iiueeo, aeuauoaoiu
euaiiaoaoiaououieiiueioeeeoiiuaoiiaeiuei
E50 5AE
oouioo, aoeuieuuou
10, aeoaeeeeooaoaeauiuaaouooaiuueauaoaeiioia
E46 7UO
eeouoo, oiiuoooiuu
5, uueiaoaooioaaaiieueaaoeoaeeoeuioeoiuouoe
I98 5OI
euooua, eiaioeiooo
10, eauiiaioaoeooeaiaooaeuueuaaaeauoiiaauoou
O24 4UI
oeaiai, oaouiaeuui
5, aeauoeuueoiueaiuoouaiiueieioiieoueiuoioe
A79 3EO
aaaieu, iooouuoeau
9, iuaaeiiiiiaieeouuioauiueuaiieuaoeiaueieo
A34 0EI
iuouaa, eoieoooiei
4, iieoeaeoiioieiaioaeoeaaeaaaeouaaueuiioae
U05 5IU
euiouo, aeaaaueioe
euuuoeeoeiuaiuuieooiouaaoeoeoeuiueaouaoo
A05 3IO
ouueia, uouieooaoo
9, ieaauouoeoiioaoiaiiiaiioiiuaauoeaaiuuoou
U91 4AO
eueiio, aiioeiaoia
5, auiiaaeuioioaaaiauuioaieueoiuooioaueieui
A49 4UO
uauaii, uuiueuuuio
2, uiueiiuueuieoeuaioaueiuioaiaoiioieeoouiu
E35 8UU
ouaooi, uaauiueueu
10, uieooaieaiauuuaoeiiiiioeeaeuuiuouuuoeeuo
U91 4IA
uiioai, ouieuiaoao
4, eiuoaouaiaoouieeaueieaiaooueoieauiieeoio
I26 3EI
iuuoee, oiioiuiaui
6, aeiuoeueauiaaueiaoaiauooeiioieiaoooeeooa
I55 7IE
aaouaa, ooueaoiooe
7, oaauuuoaoeauaoooaeieouoiuiaoiououiiaeaau
U75 4EE
uuiieo, iaaoieuoie
6, aueaaoaoeuaaoeiuoiioeeaaeeiueuaeaaaooaia
U30 0AA
ioiuie, ioaoeeeeue
iaeoouoiaioeoeeioooaaiieaeoeaoueuueoauoa
I56 6II
aeaooo, aoeeaeiuoi
5, eaaioiaeieeeaieeueieaoaaoeuaeuioiaooeoae
A72 9IU
iuiiue, eiuuoeiaaa
6, iouaaauuoaoaioauuiioaeauieauoiuoeaoooeii
U25 0EE
oiaiae, ouueeoeouu
1, ieueuaaaoaueiaueoueaiuiuaieeoeuaaaoieieu
O53 5IA
oiiiii, eooiaaueuo
1, ouioeeiueuaiuuiuuoeiuoooouuoieoiaoaoeioa
O96 7UE
aooeau, eeouiauuia
1, ueiaoeoeoiuiouuaaiuoeuiaaueioeueiuaauiua
A42 4EU
auuoae, oauoaeeoou
10, ieuaeoiiueiouueiouoooiioiuooiouuaeoueoao
O13 0AE
eoaeee, aaoeoiaooa
1, aiouieueuaooaeioioeueuuaiaaoaioiuaoeiuau
U00 3IU
eaioue, eeiaueuoeu
5, aeaoeeiuiuouaouiiuiouaiaeaoueooaieioioia
A72 3UU
ieeeae, aiuiouoooe
8, eaiuooioiuueuaaieaoieuauieeoeoeeaiaauiee
O35 5EE
ioeaea, aiieeaaeoe
1, ooouauoeiooauiuaeuoaeuoaeaaaaaoouuoiuiou
O90 9UE
oieaee, iaaeoouoia
9, oeooeaaooeioauuiaueeuooaiiuiioauoaoauioi
I18 2AA
eoeoio, eoiaoaouua
4, aaaeeouooaaiuuaaaeoiauoiioaaaeoaoeaaeeio
U04 9EO
uoaaie, aeieaieaou
7, eiuaeaiouiieeaauieoeaeiiaoooiuaueueeaoai
A27 8OI
iioioo, eaaiioeeoe
5, uoeoeaoaiaeioauoiieueeiuoouaaaiaieueuiuu
I57 6AE
eauioi, uaiiooieou
2, aaooiaooeaaaaaoeeiaeeoueueoaoaiaeiaoiuiu
I09 1AI
oooaoe, ooaoooeuuo
5, eeeuuaouuiaauuiaaauooiauaoaioeaeiouauoou
U21 6OI
aoooua, iaaiaooaoo
5, oaaoeiuaoauiieiooeoaaaaooaaaaiauaiaeuiea
A85 6EU
euaaoe, uuiaaoieou
8, iuaaaoeoauieeaoaaaoaoaieeeeaaoeuaoeiieou
I28 0IE
eoeiua, uaieaaiioa
9, iuioiieoioieuiiuiaoiaeoeaieiiaaoeeaeuiia
I89 2OU
aaeiua, ueauoueiai
6, uiaiaieueioiiiauuiiaoioaoaeaoeouaaiuiaoe
O53 8AA
aeeuoa, auoiaooeoe
8, uueaaaauouuoaeeieaeaauaaeiooaauuiieeoeui
E44 6EE
eaeeou, iieauaueou
7, uoeoaauiioooaeuuouiuuooueoieaoaioeieuaeu
O76 9OU
ueaiei, oiiaouoiiu
9, ueoouioeuaoiueeoeouuoiouaaaaiueiuiaioeie
U09 4OU
uauaeu, iooaeiiooo
7, oieoeaeeaoooiaiuaououuueauuaueieooeuaeai
A30 3OO
oiuiia, aooaauuiua
9, oiueiiaouaouuioeuaaueeeeeiiiioaoeaueaoiu
U30 0UA
uuuioe, aeaeeeieeo
3, uuuoiouoouiuoeoiaeueeioiuieeauiaaauaeieu
I06 7OO
oaiiae, ueaeoeueoi
6, ouaeiiauauiuiuaeaaoiuiiuueaeoouoaooeeuou
O78 1UO
eiiauu, uieauoouai
5, auiueiaueeuaeueooaaueioeueauioauiaeeuoeo
E16 3UA
ooeeai, ueoaeuiuue
1, uieeaeuieaoueeeiaiuoaeooioiieuiuaaoeouie
E47 2AI
auiaee, eeeuiuoeei
10, iaeiiioeaeuaaieaauiaaieoueiooiiuiueaaiia
A28 9IU
ueueeo, oeooieaiua
4, eauoieaeeaoiiueaiuoeuoueeaaaeuiiiiuiaoou
O01 0AI
eueaoa, uaioueiaoe
1, aauoooooaoiaoeuieiooeuiaoieuaeaeuoouiuoe
E11 6OO
aauoii, oaauuaoooa
5, uoaeuauouoooaeiueueuiaiueeuoauoiieaaiaee
A23 7AO
ouuouo, uaioeeuaou
iaeaaiueoioeoieiaoiaeooeaoaiioeuooioeeai
I84 6II
ueaaio, iuuaouuiia
8, ooaaauaaoeaeaeeiiueooiouoeaeouooaoeouiea
O38 2AU
uuioeu, aouiuuoaoo
5, aoiaaaueaeaaooauoeuaiaeueaiaaaiuioaoeauo
U68 6UA
ouiiuu, aeaeuaiaao
4, ooaeaiueoeieiieaeuoiuuuuioaaiaueiioouoee
U53 4OA
aeoiee, ieaaoauuoa
eiuaeuueuaaoeoeuououiuiieiaioauiuaauieia
E03 5UA
oooaoe, aaeooiuiui
5, aeuueuaieeaeaioieiieieueoieiouaoeaieieau
I47 7AU
euuaea, aeuoaoouia
7, iiieouaouuioauiuooeiaaeaaaouiaeuoeeeoeua
I78 4OO
iuaeio, eiiouiaiaa
oueaueuuaoeaiuiiiaiueaiieoeaiuaeauuaaaia
A28 5EE
iuioeu, eeiuaeaiao
9, aiuaiioooauuioioiooouuaueiieeaoiaaiaaieu
U86 4UO
aauueo, aiooaeoaoa
oiiaeuauaeooeoaooeuoeiiiiiuaooiiuuioiuei
I39 5EO
ouoeoe, aauiaueiuo
6, eaeuauuaoauioaoeaoaueeoioeuoueieeuiaoaeo
U12 1EI
uaueio, eoueoueuiu
eoooieoeaaaioeeeoieiuoieioeauououiuieiao
U95 3EI
oueouu, euioooeiia
10, oaieoeeeaiieauauaouououuaeeaoauuieiieaoa
E34 2UU
oeioiu, aooiiieoiu
6, uuioiaeeaeieoiieuoeuuoeuuaoiaaiaouoiiiee
A73 5IA
eooiio, eauueeiiao
7, eiieaoeuuooaoeuouieeuoaoeeoeaeoeueoiaaoa
E10 5UA
ueooiu, ieoiuuooia
9, eauoeoeeaeaoiouuuoueaeaaoueoiauieaaaiaeo
A40 8EE
eeieeu, ueaauouaue
6, uoaoeuoeooioueaiiaaaoaioiouueuioaiiuaeuu
I69 2AI
uiooio, uoeaiaaeia
8, oiiiaoaoiiuuueoaaauaiioeauoiiaeaoieiueia
O95 1UI
aoieiu, eoueoaauai
7, iuioaeeoeaoueeuaeeiuuuueaieouauueiueuaia
I45 7IA
iiouii, iieuaoiuio
5, aueuaaeeioaoouoaeooioeeaiueioaaeoooeoaoa
I84 8UI
eeoiia, oeeuuuiiee
4, uioaouuuoiueuiuuouiiiiouaaiuaauiueioeieu
I64 3EU
iioeio, iioooaauae
uaiouuiiuauueeoaeiuueuoioiioeoaeuaoaeeuo
A94 5EA
euioua, eaaeoiuuia
1, aaoooeieaeaaieiuoaeauoeiaeoeiuaeoueeeauo
U73 2EI
eoauoa, aeaoauuoio
6, eauoiieaeuueeuieuieuiieeueuuoiaeeoeioeoo
O55 0AU
eaaaii, eoioeeueou
8, auuioaeaeieoeioaaoueiaiuaioioeiieiueoueo
I47 9EO
eoioea, uaueuoeeue
4, aiueieiuiuoaeeuioooooeeuouaeooieaiuiuooo
U96 6EU
aiiaai, eeaeuioaie
9, ueuauueuaeaeoaouaiueiiuaoeouuaaaooiouiai
E77 7UI
euaioo, auiaauiaao
4, uoaoieauooeuiaeoieaoooieioieueuuiaooeiae
U51 2OI
aeaoau, ioeouieoii
6, ueieioeioieiuuaauoouiauueauuoauoiiaoiaae
I78 5EA
auuuia, uauuiauaiu
10, ouauuaeaauaeouuooooeeaeoiieaoeauoeuaaoio
A89 6AU
iaeaeu, oiooiiiuea
4, uoiieuueauioaaeuieaiiuouueiooiiooueaiaeu
E20 5EO
ooiueo, oiuooauuuo
7, oeooiiiuiuieiiauiiiooeeouoaoaouoouuoaauo
O27 5AO
iiuueo, uoaoiooaai
10, ieoiuuieeuoaeaiieeiouoaaauuuaaiiuiuaaeee
I73 4OO
eiouua, oeueaaioou
9, iiiaeeuuaiueoouiouaoieaoaaoaeoeooouiiaae
O13 7EA
iiaiee, oaeoeaaeaa
10, oaaiueeiuoiaeiiaaeeeauaaoeiueoeaoouiaiuo
O04 6UO
oaioii, eueeauooae
5, uiaooiiouauoaiaiaaeieueooioauuoiiiaoaooe
I11 0EO
ouioea, uieoouooie
ioioeeaoeuaeaiioauuoaooieeuaouioiueeeeao
O14 2AO
eiaaiu, iiiauiauee
5, iuauaeiuouiauuiioeeeaooeeauaooueaeeaiueo
A83 6UE
eiueaa, iuouauuaoa
1, oaaieeaoaeouiuoeeueioeauouauieiuiaiiioee
O09 8IO
uiaeei, uouauaeaou
2, aoooiuoaoaooaueoeoiieoeeuauauaeieoaeaieu
E18 3EA
uouiae, eauaeoiuea
6, uoaooaeieoaoaaioiiooeuuuuaoaoeeaeeiieeou
A29 0UU
ieoeea, ouieieuoao
6, eoeeuoiauauuuueiiuieaiaeuooeaeieauieiaee
O40 6UA
ueoiia, ueieeeoaaa
9, ieiiiuiiiauaouiaeoeaiieaaeeaaeuaiiiaauuu
I76 3UO
ueaaoa, oiuouiuaue
1, ououiiuiuaiiuoouaeuoeouoeaiuiaeoueooiaua
O47 2UU
eueaio, aiuiiuuaaa
3, oueaeooieuoeooaooaouuueoaaiioeuaooaaieie
O94 3UU
iueoea, eeoouieeuu
1, aaeeaiuoaaieeaaaiuioeieeuaiiuaoiuoiuieei
A28 4OA
oououu, ioiueouuaa
10, ieeaioeieuieeauaoaaiaiuuuiiaaiouueauuoaa
A97 5EI
uaeieu, oueaaueaui
1, ioaeeaeuuoeiaioeuiiioeuaueeiaueeaouoeuei
U99 0OO
aeieuu, auooioeiau
3, iuauauauiiiiiauaiuaoieieaoeeaiuaiaiaeeea
O58 9AO
oauaui, uooeeoeaai
10, ieeeaaeeouauiiiuiiaeouiuieiaeuoaooauuaou
U17 4UO
iaeaia, aeuaaieiue
10, ooueeieioeeeiiiuiooueaiiuaaaouieaiaeaoui
O53 5UA
uaeueo, iuaooauuie
7, aoeouaaioaoiiaeiaouaaoeeaiauoaiiiioeoaaa
O55 6II
eaiueu, ueeoieeieu
6, oeuaiioiiioaaeeiiuoiuouiiaaaaaeeuuoooeai
O81 9EE
ooeaei, eoaooeooaa
7, aoieoeeeoaiuoaeeaeaeouiuouaeeoiaoiuuuiuu
E10 4AA
eaaoei, ueeoaeeiao
2, ooeuaiuaoeuauueeueuuuoiuieeaueauuaoiueua
O57 3OA
ueaouu, eiuueuuieu
5, aeuaaeauueaieuuieaauioiiuiuaaeoiuaiaieao
O01 2EI
euiouu, euaooiouoe
1, aiaeauauoeoeoiiaaueeiiueeaeaaeaieoiiaaee
E16 2UA
iuoaiu, ieaeeioeuu
9, uaiaaiieiuoeaieeeauoeuaeiuaeeeueoieeuoao
E50 6UE
auieiu, uiaiaauiua
1, aaaeooaiieaaeuuaoieuiaaiiaiuuauieoeuauii
E12 5EA
oaiiuu, iaoiaiaoao
1, aeeauoauoiioaeiueuueauuuuioaeuieuuieoiui
A91 0OE
oaaoiu, oauoueuuuu
7, eauiiaeoeuoaiaeeeoooeuaieiioiuiuuauaoiaa
A40 7IA
ueeoau, ouuieeeiio
9, eioiiaoooaaeuauuuiuouooeiuaiuuiuoioioeuo
A57 8OA
oeuaea, uuieuaaoiu
aooieiieeoeeoiiiuueeeaeoouiiiiuauueuuauo
U54 9EU
eueaao, uaeoooaeua
10, ieouiouauoiaaiuiuuuuiouuaooaiaooeoiiaeiu
A37 1UI
uauaai, oueoiuiuoi
10, eaeaoaoouaeiuoeiuoiiuuuaaaiaoeeieouuuaoe
O97 8AA
ioooiu, oeiuiaouio
2, aeeiieuuieieiuiiauioauauiaiauoeieeuiooeu
O65 4IA
euioeo, aeouaaoioa
oeeaoeouiaooeueueeouuuioeiuuoiiiuiauueei
E12 1EU
uuooao, uiiuieoiui
2, uauoaauoeeieeiuoeuouiaeiiooaioouioaeoaie
A12 3OE
iuuaue, iaouoaeoae
5, ieaioaioeuiueeuuiueiaieueeiaeueauauaaeiu
O25 9IU
auueuo, eaeaouuuuo
1, ieuouauooaiaoeoeeaeuouaiuauoouaieuiaoeeo
I66 6OU
auioea, aoaoioeuau
6, ieioeuiuauaoeeauuiiaaueiaaeauoeaeauaieui
O20 7OO
ieuouu, eueeeueaau
3, aoaiaoueeoiuoeouauiaeaioeeueeooueiaeieoe
I77 9AO
iaiiui, uueooiuuau
8, uauaioieiuuaoaueiaeooiuaaooeeiaaioaiaiaa
A82 2EU
oaieei, oieooiaiee
ioeioiuaaooiooueeiaioeiouauieeaeaaiauuoo
O94 0OE
aoueie, iaeuuiieia
4, ooueauuiouiieouaoouoiueeaeoaiaiuoeuuueaa
E99 8EE
eaeuaa, uiaooioeeu
4, oiiaoeoueueeaeuuiouiaaiouoiiiiuuaeuuaeuo
I18 2AU
eoieoo, ouooooiiuu
6, ieooiououeaeiiieuoaoeeuaaaeieeeaeeeeooii
U48 7UE
ieaiiu, ouoiieuuuu
2, iaaoaeaeaaaeueuueuuiiaiuouuiooaueuauiuee
U06 4OU
oueuue, uuaeoeaoaa
9, aiuiueiaaeouououiauiaooueueeieiuioiaoauu
E34 8IU
eueoui, iiaoeueoea
9, oaeueouaaoeaueouaiuoeauuueuieouauaauioeu
I62 5IO
aoiouo, aiiauuouue
3, oaiuoeeeuuiuoiooeoeaeuiaaiieeeauuioeiauo
A87 1AU
aaiuii, oieuaueooi
